adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684428,tt0371396,en,The Matrix: What Is Bullet-Time?,"Special Effects wizard John Gaeta demonstrates how the ""Bullet-Time"" effects were created for the film Matrix, The (1999).",3.508,/hSTervHaROcTd8Ir3DPfepN80dL.jpg,[],[],1999-09-21,0,6,[],Released,,The Matrix: What Is Bullet-Time?,False,6.6,7
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,684431,tt0365467,en,Making 'The Matrix',"A promotional making-of documentary for the film Matrix, The (1999) that devotes its time to explaining the digital and practical effects contained in the film. This is very interesting, seeing as how they're giving away the cinematic secrets that they created solely for the this movie, that have now been spoofed and referenced in countless other films.",0.732,/m2yIfRJYwpCgHON1Ig1pNKMWTxp.jpg,[],[],1999-09-21,0,26,[],Released,,Making 'The Matrix',False,7.8,12
False,,,0,"[{'id': 16, 'name': 'Animation'}]",,919064,tt21097728,en,Me and The Matrix,"Filmmaker Cressa Maeve Beer recalls her experience growing up as a fan of the Matrix movies, in celebration of the upcoming release of The Matrix Resurrections.",0.6,/i9A8PKfzxyp4HxjqoEupKcZfofr.jpg,[],[],2021-12-22,0,2,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Me and The Matrix,False,0.0,0
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,371610,,en,David Icke - Secrets of the Matrix,"Since 1990 David Icke has been on an amazing journey of self and collective discovery to establish the real power behind apparently ""random"" world events like 9/11 and the ""war on terrorism"". Here he reveals that a network of interbreeding bloodlines manipulating through their web of interconnecting secret societies have been pursuing an agenda for thousands of years to impose a globally centralized fascist state with total control and surveillance of the population.  The attacks of September 11th - not the work of ""bin Laden"" - and the subsequent ""war on terrorism"" are a means through which this is designed to be achieved.  Over more than six hours and with hundreds of illustrations, David Icke also reveals the illusion that is life in this ""physical"" reality. How is the ""world"" a provable illusion - just a lucid dream? How do we create it and how can we change the dream to one that we would like to experience?",0.841,/tKSN5gR14arHAVWDaqHa2LPQdoJ.jpg,[],[],2004-10-05,0,360,[],Released,,David Icke - Secrets of the Matrix,False,0.0,0
False,,,0,[],,344225,tt0274085,en,Sex and the Matrix,"A spoof created for the 2000 MTV Movie Awards, combining The Matrix and ""Sex in the City"".",0.717,,[],[],2000-06-03,0,6,[],Released,,Sex and the Matrix,False,6.7,3
False,/5nxDn3mrdmeUHJOZi1Wfqya8Vji.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",https://www.aglitchinthematrixfilm.com/,696109,tt9847360,en,A Glitch in the Matrix,"Are we in fact living in a simulation? This is the question postulated, wrestled with, and ultimately argued for through archival footage, compelling interviews with real people shrouded in digital avatars, and a collection of cases from some of our most iconoclastic figures in contemporary culture.",9.348,/bn0BLVadmvzq6MmJ0n97MLxGpNQ.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-02-05,0,108,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,True stories / False realities,A Glitch in the Matrix,False,5.2,28
False,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684721,tt5325338,en,The Matrix Revolutions: Super Big Mini Models,"This making-of piece includes remarks from production designer Owen Paterson, concept artist George Hull, visual effects supervisor John Gaeta, US unit production manager L. Dean Jones Jr., US model unit special effects coordinator Geoffrey Heron, Zion unit sequence lead Rodney Iwashina, high speed first assistant camera Paul Sanchez, US model unit art director Nanci Noblett, conceptual designer Geofrey Darrow, model shop supervisor Michael Lynch, US model unit producer David Dranitzke, prop maker foremen Dave Fogler and Fon Davis, and visual effects supervisor John ""DJ"" Des Jardin.",1.297,/2US7uuM36El9pnk8WLdGh1XN39r.jpg,[],[],2004-04-06,0,9,[],Released,,The Matrix Revolutions: Super Big Mini Models,False,6.8,2
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,274866,,en,The Roots of the Matrix,"Disc 8 of 10 of 'The Matrix: Ultimate Edition': Probe the philosophical and technological inspirations of The Matrix Trilogy through two insightful documentaries:  - Return to Source: Philosophy &amp; The Matrix documentary – Scholars, philosophers and theorists deconstruct the intellectual underpinnings of the trilogy  - The Hard Problem: The Science Behind the Fiction documentary – Is the notion of a real Matrix plausible? An investigation of the technologies that inspire the metaphor of the Matrix.",1.098,/qmOtnpPihV3Wj6ukpiNIgzo4Ax7.jpg,[],[],2004-12-07,0,190,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Roots of the Matrix,False,7.0,3
False,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 878, 'name': 'Science Fiction'}]",,221495,tt0410519,en,The Matrix Recalibrated,"The making of Matrix Revolutions, The (2003) is briefly touched on here in this documentary. Interviews with various cast and crew members inform us how they were affected by the deaths of Gloria Foster and Aaliyah, and also delve into the making of the visual effects that takes up a lot of screen time. Written by Rhyl Donnelly",3.88,/gRni1Q651AZPnLqZczmahiIxG0s.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-04-06,0,27,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Recalibrated,True,6.7,37
False,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684729,tt5319982,en,The Matrix Reloaded: Car Chase,"This thirty-minute documentary follows the Wachowski sisters and the film's crew through production on the film's famed highway chase sequence. We get interviews with the visual effects supervisors, the stunt coordinators and even are taken through aspects of pre-production and planning for the scene. Then the documentary moves into production, the scariest aspect of which is certainly Carrie Anne-Moss trying to learn to ride a motorcycle good enough to do so safely without helmet for the scene. We also watch as the stretch of freeway used in the film is being built.",1.081,/zkpzfTyF7BjadH1PZKlC6kueWXf.jpg,[],[],2004-12-07,0,30,[],Released,,The Matrix Reloaded: Car Chase,False,6.0,4
